created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 04 16:15:57 +0000 2023;1709603269675458695;"Nonton jesica mirna malah makin ruwet";0;0;0;0;in;1555580150;1709603269675458695;adiningsiih;https://twitter.com/adiningsiih/status/1709603269675458695
Wed Oct 04 16:11:23 +0000 2023;1709602121518366784;"@AREAJULID Menurut ku Jesica itu di jebak sama ayah Mirna trs dia suruh ngaku klau di yg bunuh Mirna makanya Jesica di sidang beberapa kali dia nga prnh ngmng klau dia yg racunin Mirna,krna ayah Mirna ngancap Jessica klau dia sempat ngmng jujur bukan dia yg lakuiin maka keluarga nya yg kena";0;0;0;0;in;1701904912723173376;1709522613666750650;LolaaMeisi52712;https://twitter.com/LolaaMeisi52712/status/1709602121518366784
Wed Oct 04 15:54:54 +0000 2023;1709597976006660416;"Cek fkt ini klo pnasaran ksus Mirna : 1.Ayahny knon anggta BIN 2.Mirna pny kmbaran, jgn smpai, anu.. 3.Jesica ngku ditekan Krisna Murti lho 4.Saat itu ada prstw politik apa? 5.Brp lma ksus itu pnuhi  headline media indo smpai pd lupa kasus bsar?  Dkibulin lg? Ya gpp Toh sll bgtu.";0;0;0;0;in;828976373721026562;1709597976006660416;DenBagusDhewe;https://twitter.com/DenBagusDhewe/status/1709597976006660416
Wed Oct 04 15:41:15 +0000 2023;1709594537440727182;"@Heraloebss Dr smua teori konspirasi yg ada yg tetep bikin bingung adalah masalah motif. Jesicca motifnya apa? Klo iy brmasalh motif ayah mirna ga ngerti jg. Dan polisi motifnya apa pula smpai kesannya memaksakan kasus tsb. Yg paling masuk akal mirna memang meninggal dgn sndirinya.";0;0;0;0;in;77696666;1709540592148262915;gandhi4;https://twitter.com/gandhi4/status/1709594537440727182
Wed Oct 04 15:37:35 +0000 2023;1709593614337352033;"@hendsethhh @sosmedkeras Keterangan saksi Hani (kawan Mirna)  Mirna minum kopi, terus ngomong "wah parah banget, sumpah ga enak, ini apa ya?  Mirna minta air, Jesica pergi meminta air mineral.  Hani mencicipi sedikit kopi Mirna. Mirna bersandar di kursi, tatapannya ke atas, susah napas, mulut berbusa";0;0;0;2;in;1501113710643138560;1709549976437805358;Andrysimp;https://twitter.com/Andrysimp/status/1709593614337352033
Wed Oct 04 15:19:06 +0000 2023;1709588966243242270;"@PartaiSocmed Saksi tdk melihat langsung kalo jesica menaburkan sesuatu, namun dari gestur jesica dlm cctv  banyak kejanggalan terhadap gelas mirna";0;0;0;0;in;1241032263485108224;1708485482638897602;Ibor84770777;https://twitter.com/Ibor84770777/status/1709588966243242270
Wed Oct 04 15:15:42 +0000 2023;1709588108533289269;"@PartaiSocmed Memang tdk di otopsi karena keluarga menolak, namun sesaat setelah bersama dgn Jesica, Mirna Meninggal. Tapi ada petunjuk bahwa celana yg digunakan jesica saat bertemu dgn mirna itu dibuang. Pertanyaannya kenapa dibuang/di musnahkan?";0;0;0;0;in;1241032263485108224;1708485482638897602;Ibor84770777;https://twitter.com/Ibor84770777/status/1709588108533289269
Wed Oct 04 15:02:47 +0000 2023;1709584860673872375;"kasus pas kelas 8 SMP wkwk dlu disuruh print dan menceritakan kejadian bergantian dan dari dulu curiga kenapa ga cek cctv yg mengarah langsung ke table Jesica&amp mirna";0;0;0;0;in;1249531523159613440;1709584860673872375;richardrra_;https://twitter.com/richardrra_/status/1709584860673872375
Wed Oct 04 14:52:22 +0000 2023;1709582236822155483;"@twisterwz ngobrol jesicca mirna";0;0;0;0;und;1503317004161208320;1709578069869240481;Liluziverth;https://twitter.com/Liluziverth/status/1709582236822155483
Wed Oct 04 14:18:44 +0000 2023;1709573772746097127;"@narkosun @kegblgnunfaedh Menurut gw si, bkn terungkap siapa pembunuh mirna, tpi lebih ke bagaimna mirna bisa mati??? Dibunuh atau ada hal lain 🤌🏻 Dan membuktikan apa jesica membunuh atau tidak";0;1;0;6;in;921279896755638272;1709485631616016426;HftbTxZVloPvvHM;https://twitter.com/HftbTxZVloPvvHM/status/1709573772746097127
Wed Oct 04 14:04:24 +0000 2023;1709570165837647912;"@Heraloebss Ini menurut gue yah. Kenapa semua curiga ke ayah mirna, bs jd ayah mirna ini bayar para penegak hukum utk membuat skenario bahwa jesicca yg ngebunuh dgn menggunakan sianida. Mknya pas diwawancara dia keceplosan blng ada botol, pdhl mngkin itu part of the skenario yg keceplosan";13;20;111;2204;in;1082696472452227072;1709540592148262915;helloxsydney05;https://twitter.com/helloxsydney05/status/1709570165837647912
Wed Oct 04 13:42:32 +0000 2023;1709564664328384888;"10 jam ak abisin waktu cuma buat baca2 soal jesica mirna karena geregetan akskdlsl";0;2;0;4;in;1081413547014275072;1709564664328384888;japannesedenim;https://twitter.com/japannesedenim/status/1709564664328384888
Wed Oct 04 13:41:05 +0000 2023;1709564296336945429;"yg ga ikut berita mirna jesica dari dulu ampe skrg ☝🏻";0;0;0;0;in;208046037;1709564296336945429;spensieratez24;https://twitter.com/spensieratez24/status/1709564296336945429
Wed Oct 04 13:30:52 +0000 2023;1709561728454054035;"@Heraloebss Aku yg dulu mikir jesica membunuh mirna kok tiba2 mau ubah team ya setelah tanggapan ahli forensik.";0;0;0;0;in;2492724062;1709540592148262915;AWRessy;https://twitter.com/AWRessy/status/1709561728454054035
Wed Oct 04 13:22:39 +0000 2023;1709559660402069521;"@AREAJULID Keknya salah sasaran ,sbenernya targetnya jesica tapi yang minum mirna...";0;0;0;1;in;898200306122489858;1709522613666750650;lalerselow;https://twitter.com/lalerselow/status/1709559660402069521
Wed Oct 04 12:57:16 +0000 2023;1709553269897609383;"@AREAJULID Barista gugur krn cctv menangkap kegiatan dia yg tdk kelihatan memasukan sesuatu, pelayan gugur krn sianida akan menguap ketika bersentuhan dgn air panas, hani gugur, krn dia datang bersama mirna, tinggal Jesica dimana dr cctv kelihatan gerakan2 dia yg sangat tdk lazim";0;0;0;0;in;71238878;1709522613666750650;Vikeeey;https://twitter.com/Vikeeey/status/1709553269897609383
Wed Oct 04 12:38:58 +0000 2023;1709548665210298715;"@kegblgnunfaedh Setelah nonton dokumenternya menurutku kejadian sprti itu seharusnya dilakukan 2 org, jesica dan suami mirna tp ntah knp suaminya ga pernah diusut";0;0;0;0;in;1644802051;1709485631616016426;htsanz;https://twitter.com/htsanz/status/1709548665210298715
Wed Oct 04 12:37:07 +0000 2023;1709548200829579560;"@AREAJULID Jadi maksudnya bapaknya sendiri yg niat bunuh Mirna anaknya sendiri?. Apa tujuannya bunuh anak sendiri?. Terus Jesicca dijadikan kambing hitam?. Tolong kasih paham gak ngerti bngt nih";0;0;0;0;in;1538138416142921729;1709522613666750650;Bobamilku22;https://twitter.com/Bobamilku22/status/1709548200829579560
Wed Oct 04 12:33:53 +0000 2023;1709547388132905459;"@AREAJULID Sebelum ada bukti baru, saya msh percaya jesica pelaku. Dia yg pesen, dia satu2nya yg tau itu kopi buat mirna sebelum yg lain datang, dia berada di posisi yg sangat strategis buat naruh racun. Satu2nya kekurangan, tdk ada yg liat dia naruh racun atau kamera.";0;0;1;1;in;829589997078536193;1709522613666750650;sastropwr;https://twitter.com/sastropwr/status/1709547388132905459
Wed Oct 04 12:11:13 +0000 2023;1709541683095069019;"@Deviezta08 @convomfs Kayaknya hampir semua warga negara Indonesia dulu percaya kalau Jesica yg membunuh Mirna..hehe";0;1;0;0;in;1100240119301267456;1709527696680894673;Ria09612997;https://twitter.com/Ria09612997/status/1709541683095069019
Wed Oct 04 12:06:57 +0000 2023;1709540609185432042;"Hei jesica temennya wayan mirna ayo ngopi";0;0;0;0;in;1526544687493918721;1709540609185432042;mimamtd;https://twitter.com/mimamtd/status/1709540609185432042
Wed Oct 04 12:06:15 +0000 2023;1709540434572382384;"@Riizky22 @fuoshiguro @AREAJULID tdi ada yg blg bapaknya mirna ini trmsk jaringan mafia, apa ada korelasinya ya jd supaya jaringan mafia nya bebas di indo, dia krj sm POL utk jdiin jesica pelakunya supaya POL dpt kasus gede dan naik pangkat?";0;1;0;0;in;1057592502834782214;1709522613666750650;eonnixe;https://twitter.com/eonnixe/status/1709540434572382384
Wed Oct 04 11:58:54 +0000 2023;1709538580857868517;"@kegblgnunfaedh sebelum ada polarisasi pilgub DKI 2017 sudah ada polarisasi pro Jesicca dan pro Mirna, walaupun ngga besar. Dan saat itu jg belum umum masyarakat menuliskan hal yg pro kontra di media sosial. Yg saya inget saat itu isunya berat ke Jesicca sekarang malah jadi berat ke Mirna";0;0;0;0;in;1101784681098338304;1709485631616016426;sofyanyus94;https://twitter.com/sofyanyus94/status/1709538580857868517
Wed Oct 04 04:48:12 +0000 2023;1709430195026022597;"Setelah gua pikir²nih kasus si Jesica tuh kasus yg menyangkut 2 orng kaya yg berperang saling memperlihatkan kekuatan &amp  kekuasaan mrka,buktinya udah lama kasus naik lgkan demi bebas/demi nama baik bgs lg, karena yg nanganin jg udah dipenjara apalagi yg nanganin dkt sm klrga mirna";0;0;0;0;in;1225056916344205312;1709430195026022597;Dendolionkuat;https://twitter.com/Dendolionkuat/status/1709430195026022597
Wed Oct 04 04:16:21 +0000 2023;1709422179295891698;"@Nacozz_ @rarruski jesicca mirna part 2";0;1;0;1;es;1547724962;1709166310201168374;indomietrash_;https://twitter.com/indomietrash_/status/1709422179295891698
Wed Oct 04 03:51:32 +0000 2023;1709415934555988025;"Anjirt habis mikirin SPIE malah gantian mikirin Jesica apa bener2 ngebunuh Mirna😭🙏";1;1;0;0;in;1304726970639368195;1709415934555988025;gamatukiyowok;https://twitter.com/gamatukiyowok/status/1709415934555988025
Wed Oct 04 03:27:43 +0000 2023;1709409939947688224;""piu di tiktok gua sekarang fyp nya ice cold trs, kasus jesica mirna, menurut lu jesica tuh di jebak atau emng dia pelaku nya? soalnya ni kasus janggal banget" - Bisa-bisanya tello Piu nyasar ke gue😭 @runweebs #tellonym  https://t.co/Nz8LiY4qlo";0;4;0;1;in;867432050357174273;1709409939947688224;winrinaversion;https://twitter.com/winrinaversion/status/1709409939947688224
